MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Exemption from GST for municipal transit,Tax expenditure,Social,Non-structural,GST,Goods and Services Tax,110,110,170,215,230,230,240,250
Exemption from GST for personal care services,Tax expenditure,Families and households,Non-structural,GST,Goods and Services Tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Exemption from GST for short-term accommodation,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Exemption from GST for tuition and educational services,Tax expenditure,Education,Non-structural,GST,Goods and Services Tax,935,965,""1,055"",""1,145"",""1,210"",""1,250"",""1,295"",""1,345"""
Exemption from GST for water, sewage and basic garbage collection services,Tax expenditure,Social,Non-structural,GST,Goods and Services Tax,365,390,415,440,480,500,520,540
Exemption of scholarship, fellowship and bursary income,Tax expenditure,Education,Non-structural,PIT,Personal income tax,705,690,725,760,770,770,720,745
"Exemptions from non-resident withholding tax,Tax expenditure,International,Non-structural,PIT/CIT,Total,""8,975"",""11,680"",""13,475"",""14,315"",""14,755"",""15,540"",""16,325"",""17,320"""
"Exemptions from non-resident withholding tax,Tax expenditure,International,Non-structural,PIT/CIT,Dividends,""5,585"",""7,590"",""8,410"",""8,095"",""8,640"",""8,950"",""9,220"",""9,595"""
"Exemptions from non-resident withholding tax,Tax expenditure,International,Non-structural,PIT/CIT,Interest,""1,410"",""1,700"",""2,060"",""2,600"",""2,440"",""2,525"",""2,605"",""2,710"""
"Exemptions from non-resident withholding tax,Tax expenditure,International,Non-structural,PIT/CIT,Rents and royalties,895,980,""1,240"",""1,460"",""1,415"",""1,465"",""1,510"",""1,575"""
"Exemptions from non-resident withholding tax,Tax expenditure,International,Non-structural,PIT/CIT,Management fees,""1,080"",""1,410"",""1,770"",""2,155"",""2,260"",""2,600"",""2,990"",""3,440"""
Expensing of capital expenditures on scientific research and experimental development,Tax expenditure,Business - research and development,Non-structural,PIT/CIT,Total,–,–,–,–,–,15,10,15
Expensing of capital expenditures on scientific research and experimental development,Tax expenditure,Business - research and development,Non-structural,PIT,Personal income tax,–,–,–,–,–, S, S, S
Expensing of capital expenditures on scientific research and experimental development,Tax expenditure,Business - research and development,Non-structural,CIT,Corporate income tax,–,–,–,–,–,15,10,15
Film or Video Production Services Tax Credit,Refundable tax credit classified as transfer payment,Arts and culture,N/A,CIT,Corporate income tax,355,430,485,480,405,470,485,505
First-Time Home Buyers' GST Rebate,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax, –, –, –, –, –,110,590,895
First-Time Home Buyers’ Tax Credit,Tax expenditure,Housing,Non-structural,PIT,Personal income tax,130,150,245,220,235,230,240,250
Flow-through share deductions,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,200,310,255,285,265,260,260,265
Flow-through share deductions,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,170,245,200,215,190,195,195,195
Flow-through share deductions,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,30,60,60,65,75,70,65,65
Flow-through share deductions for oil and gas and coal mining,Tax expenditure,Business - natural resources,Non-structural,PIT/CIT,Total,10,10,10,10,10,5,4,3
Flow-through share deductions for oil and gas and coal mining,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,3,3,3,3,2,2,1,1
Flow-through share deductions for oil and gas and coal mining,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,5,5,5,5,5,4,3,2
Foreign Convention and Tour Incentive Program,Tax expenditure,Business - other,Non-structural,GST,Goods and Services Tax,1,S,2,5,5,5,5,5
Foreign tax credit for individuals,Tax measure other than tax expenditure,International,Structural,TRU,Personal income tax – trusts,45,90,80,50,50,55,55,55
"Foreign tax credit for individuals,Tax measure other than tax expenditure,International,Structural,PIT/TRU,Total – personal income tax,""1,970"",""2,165"",""2,390"",""2,530"",""2,655"",""2,735"",""2,800"",""2,880"""
"Foreign tax credit for individuals,Tax measure other than tax expenditure,International,Structural,PIT,Personal income tax – individuals,""1,925"",""2,075"",""2,310"",""2,480"",""2,605"",""2,680"",""2,745"",""2,825"""
"Goods and Services Tax/Harmonized Sales Tax Credit,Tax expenditure,Families and households,Structural,GST,Goods and Services Tax,""10,450"",""5,030"",""7,335"",""8,120"",""6,195"",""6,400"",""6,575"",""6,760"""
Hardest-Hit Business Recovery Program,Refundable tax credit classified as transfer payment,Employment,N/A,PIT/CIT,Total,–,300,330,–,–,–,–,–
Holdback on progress payments to contractors,Tax expenditure,Business - other,Structural,PIT/CIT,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Holdback on progress payments to contractors,Tax expenditure,Business - other,Structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Holdback on progress payments to contractors,Tax expenditure,Business - other,Structural,CIT,Corporate income tax,65,100,140,175,165,170,175,180
