MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
"Déduction des frais d’intérêt et des frais financiers engagés pour gagner un revenu de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,900"",""2,280"",""2,465"",""2,835"",""3,100"",""3,170"",""3,255"",""3,370"""
Déduction des frais d’intérêt et des frais financiers engagés pour gagner un revenu de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Déduction des frais d’intérêt et des frais financiers engagés pour gagner un revenu de placement,Mesures fiscales ne constituant pas des dépenses fiscales,Épargne et investissement,Mesures structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Déduction partielle et crédits partiels de taxe sur les intrants pour les frais de repas et de représentation ,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,150,185,250,275,295,270,270,280
Déduction partielle et crédits partiels de taxe sur les intrants pour les frais de repas et de représentation ,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,225,195,325,405,450,405,410,425
Déduction partielle et crédits partiels de taxe sur les intrants pour les frais de repas et de représentation ,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,TPS,Taxe sur les produits et services,130,120,180,225,245,220,220,230
Déduction partielle et crédits partiels de taxe sur les intrants pour les frais de repas et de représentation ,Mesures fiscales ne constituant pas des dépenses fiscales,Entreprises - autres,Mesures structurelles,IRP/IRS/TPS,Total,500,500,755,905,990,895,900,940
Déduction pour amortissement accéléré–Actifs qui améliorent la productivité,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,10,5,5,-10
Déduction pour amortissement accéléré–Actifs qui améliorent la productivité,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,610,415,295,-455
Déduction pour amortissement accéléré–Actifs qui améliorent la productivité,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/IRS,Total,–,–,–,–,620,420,300,-460
Déduction pour amortissement accéléré–Logements construits expressément pour la location,Dépenses fiscales,Logement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,F,1,4,10
Déduction pour amortissement accéléré–Logements construits expressément pour la location,Dépenses fiscales,Logement,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,F,10,80,220
Déduction pour amortissement accéléré–Logements construits expressément pour la location,Dépenses fiscales,Logement,Mesures non structurelles,IRP/IRS,Total,–,–,–,–,F,10,85,230
Déduction pour amortissement accéléré des coûts pour le matériel et les véhicules automobiles zéro émission,Dépenses fiscales,Environnement,Mesures non structurelles,IRP/IRS,Autres types de matériaux et de véhicules automobiles zéro émission ,F,1,1,1,5,5,5,10
Déduction pour amortissement accéléré des coûts pour le matériel et les véhicules automobiles zéro émission ,Dépenses fiscales,Environnement,Mesures non structurelles,IRP/IRS,Total,4,5,15,20,25,30,25,35
Déduction pour amortissement accéléré des coûts pour le matériel et les véhicules automobiles zéro émission ,Dépenses fiscales,Environnement,Mesures non structurelles,IRP/IRS,Véhicules routiers zéro émission,3,5,15,20,20,25,20,30
Déduction pour amortissement accéléré pour les bâtiments servant à la fabrication ou à la transformation,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,–,–,–,–,–,1,5,5
Déduction pour amortissement accéléré pour les bâtiments servant à la fabrication ou à la transformation,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,–,–,–,–,–,45,260,260
Déduction pour amortissement accéléré pour les bâtiments servant à la fabrication ou à la transformation,Dépenses fiscales,Entreprises - autres,Mesures non structurelles,IRP/IRS,Total,–,–,–,–,–,45,265,265
